,value,duration,params_lr,params_lstm1,params_lstm2
20,0.0028619528748095036,0 days 00:05:58.729707000,0.0022571593615013114,128,128
43,0.0023232323583215475,0 days 00:12:45.270257000,0.0032168054094140024,64,512
34,0.0021212121937423944,0 days 00:14:42.296196000,0.013736097603364495,256,256
46,0.002020202111452818,0 days 00:11:25.419221000,0.0006158373017663792,64,512
0,0.001818181830458343,0 days 00:05:55.659998000,0.001185214788302956,128,128
40,0.001279461313970387,0 days 00:13:13.510680000,0.0018927447558149016,64,512
47,0.0011784512316808105,0 days 00:11:36.331443000,0.0006108328756528854,64,512
12,0.0011111111380159855,0 days 00:23:19.739738000,0.06018922945648146,512,128
13,0.001077441032975912,0 days 00:23:09.907439000,1.8981751764891545e-05,512,128
7,0.001077441032975912,0 days 00:14:56.118777000,0.0361103313656202,256,256
3,0.0010437710443511605,0 days 00:14:40.046084000,0.00012645840110703317,256,256
11,0.0009764309506863356,0 days 00:07:57.242382000,0.001103551360752493,128,256
45,0.0009764309506863356,0 days 00:11:33.935887000,0.0014962813612227764,64,512
26,0.000942760962061584,0 days 00:39:37.493036000,3.4128350277826996e-05,512,512
14,0.000942760962061584,0 days 00:23:22.769893000,0.0007415948592762123,512,128
22,0.0009090909152291715,0 days 00:05:52.194388000,0.00038768357595030643,128,128
24,0.000808080832939595,0 days 00:05:45.038629000,0.009242747601124727,128,128
23,0.0007744107861071825,0 days 00:05:46.961508000,0.002443259300717644,128,128
39,0.00074074073927477,0 days 00:17:05.634066000,0.008570093596280184,256,256
41,0.0006734006456099451,0 days 00:12:51.413975000,0.0017813412631290388,64,512
36,0.000606060610152781,0 days 00:14:36.363739000,0.018096378570980225,256,256
8,0.000606060610152781,0 days 00:05:48.959586000,0.025627559329376572,128,128
35,0.0005050505278632045,0 days 00:15:11.163128000,0.012561875809903788,256,256
44,0.0005050505278632045,0 days 00:11:58.162342000,0.0033323169274914696,64,512
4,0.0005050505278632045,0 days 00:03:39.848055000,0.004337191858752031,64,128
19,0.0004377104341983795,0 days 00:23:57.382732000,0.0008026778748502595,512,128
49,0.0004040404164697975,0 days 00:11:41.587358000,0.00010124833164851492,64,512
5,0.0004040404164697975,0 days 00:14:52.730230000,0.005410106464101932,256,256
16,0.0004040404164697975,0 days 00:23:12.190995000,0.09509079703865106,512,128
17,0.0004040404164697975,0 days 00:39:00.523157000,2.24278086540319e-05,512,512
32,0.000370370369637385,0 days 00:24:16.970924000,5.924137345800976e-05,512,128
15,0.000370370369637385,0 days 00:05:52.965391000,0.06877820767389393,128,128
37,0.000370370369637385,0 days 00:05:15.934400000,0.005565904065749125,64,256
25,0.00033670032280497253,0 days 00:05:44.920344000,0.00024806085871583307,128,128
28,0.00033670032280497253,0 days 00:23:13.347121000,0.0330619873571166,512,128
30,0.00033670032280497253,0 days 00:05:50.818793000,0.0011728635952494098,128,128
29,0.000269360258243978,0 days 00:03:39.040931000,0.0004203173581092737,64,128
42,0.000269360258243978,0 days 00:14:06.539094000,0.00019100625978536758,64,512
27,0.000235690240515396,0 days 00:05:50.771458000,0.002758254285571634,128,128
18,0.000235690240515396,0 days 00:05:47.708818000,0.015414699673134859,128,128
1,0.000235690240515396,0 days 00:03:40.289863000,0.0001411733979531134,64,128
33,0.000235690240515396,0 days 00:14:48.286204000,0.05111946903710158,256,256
10,0.00020202020823489875,0 days 00:14:24.290660000,5.9117662851431345e-06,128,512
48,0.00020202020823489875,0 days 00:12:20.030803000,0.006231383321040188,64,512
21,0.00016835016140248626,0 days 00:05:53.921953000,0.0021510001613237292,128,128
31,0.000134680129121989,0 days 00:23:36.054087000,1.0449171644646327e-06,512,128
6,0.00010101010411744937,0 days 00:11:05.614845000,0.00011352879418136079,64,512
2,3.367003228049725e-05,0 days 00:28:36.741261000,0.00741191416394562,512,256
9,0.0,0 days 00:11:49.588550000,3.1975433885954613e-06,256,128
38,0.0,0 days 00:15:21.574489000,0.004340577150397599,256,256
